id,name,abbreviation
376,Epoch Super Cassette Vision,
510,e-Reader / Card-e Reader,
12,Xbox 360,X360
32,Sega Saturn,Saturn
62,Atari Jaguar,Jaguar
148,AY-3-8607,
150,Turbografx-16/PC Engine CD,
156,Thomson MO5,
306,Satellaview,
339,Sega Pico,
389,AirConsole,
13,DOS,DOS
60,Atari 7800,Atari7800
41,Wii U,WiiU
309,Evercade,Evercade
506,Amstrad GX4000,GX4000
112,Microcomputer,microcomputer
410,Atari Jaguar CD,
30,Sega 32X,Sega32
53,MSX2,MSX2
61,Atari Lynx,Lynx
77,Sharp X1,x1
120,Neo Geo Pocket Color,
127,Fairchild Channel F,
132,Amazon Fire TV,FireTV
413,Leapster Explorer/LeadPad Explorer,
140,AY-3-8500,
143,AY-3-8760,
153,Dragon 32/64,
167,PlayStation 5,PS5
154,Amstrad PCW,APCW
70,Vectrex,vectrex
87,Virtual Boy,virtualboy
145,AY-3-8603,
386,Meta Quest 2,Meta Quest 2
390,PlayStation VR2,PSVR2
477,Panasonic Jungle,
65,Atari 8-bit,Atari8bit
158,Commodore CDTV,
165,PlayStation VR,PSVR
504,Uzebox,
440,Visual Memory Unit / Visual Memory System,
473,Arcadia 2001,
474,Gizmondo,
48,PlayStation 4,PS4
51,Family Computer Disk System,fds
89,Microvision,microvision
94,Commodore Plus/4,C+4
123,WonderSwan Color,
128,PC Engine SuperGrafx,supergrafx
129,Texas Instruments TI-99,ti-99
482,Sega CD 32X,
3,Linux,Linux
8,PlayStation 2,PS2
88,Odyssey,odyssey
97,PDP-8,pdp-8
23,Dreamcast,DC
136,Neo Geo CD,
134,Acorn Electron,Acorn Electron
35,Sega Game Gear,Game Gear
39,iOS,iOS
44,Tapwave Zodiac,zod
6,PC (Microsoft Windows),PC
78,Sega CD,Sega CD
144,AY-3-8710,
146,AY-3-8605,
163,SteamVR,Steam VR
373,Sinclair ZX81,
147,AY-3-8606,
149,PC-9800 Series,
237,Sol-20,
505,Elektor TV Games Computer,
24,Game Boy Advance,GBA
72,Ouya,Ouya
85,Donner Model 30,donner30
115,Apple IIGS,
